vehicle_id,lat,lon,timestamp,bearing,speed_kmh
veh_001,28.631635,77.2217092,2024-01-01 09:00:00,2.9,31.6
veh_001,28.6320642,77.221734,2024-01-01 09:00:02,2.9,38.3
veh_001,28.6324935,77.2217588,2024-01-01 09:00:04,2.9,34.1
veh_001,28.6329227,77.2217836,2024-01-01 09:00:06,2.9,38.1
veh_001,28.633352,77.2218084,2024-01-01 09:00:08,2.9,44.5
veh_001,28.6337812,77.2218332,2024-01-01 09:00:10,317.6,45.5
veh_001,28.6339409,77.2216673,2024-01-01 09:00:12,317.6,46.1
veh_001,28.6341005,77.2215014,2024-01-01 09:00:14,317.6,47.4
veh_001,28.6342602,77.2213355,2024-01-01 09:00:16,317.6,45.0
veh_001,28.6344198,77.2211696,2024-01-01 09:00:18,317.6,42.2
veh_001,28.6345795,77.2210037,2024-01-01 09:00:20,287.8,33.2
veh_001,28.6346451,77.2207703,2024-01-01 09:00:22,287.8,31.9
veh_001,28.6347107,77.2205369,2024-01-01 09:00:24,287.8,46.4
veh_001,28.6347763,77.2203034,2024-01-01 09:00:26,287.8,39.7
veh_001,28.6348419,77.22007,2024-01-01 09:00:28,287.8,48.6
veh_001,28.6349075,77.2198366,2024-01-01 09:00:30,243.0,38.8
veh_001,28.634714,77.2194048,2024-01-01 09:00:32,243.0,41.8
veh_001,28.6345205,77.218973,2024-01-01 09:00:34,243.0,39.6
veh_001,28.634327,77.2185412,2024-01-01 09:00:36,243.0,30.4
veh_001,28.6341335,77.2181094,2024-01-01 09:00:38,243.0,39.5
veh_001,28.63394,77.2176776,2024-01-01 09:00:40,303.0,49.5
veh_001,28.6340126,77.2175502,2024-01-01 09:00:42,303.0,36.3
veh_001,28.6340852,77.2174228,2024-01-01 09:00:44,303.0,40.6
veh_001,28.6341579,77.2172954,2024-01-01 09:00:46,303.0,32.0
veh_001,28.6342305,77.217168,2024-01-01 09:00:48,303.0,35.6
veh_001,28.6343031,77.2170406,2024-01-01 09:00:50,32.3,43.8
veh_001,28.6343283,77.2170587,2024-01-01 09:00:52,32.3,35.4
veh_001,28.6343535,77.2170768,2024-01-01 09:00:54,32.3,36.9
veh_001,28.6343787,77.217095,2024-01-01 09:00:56,32.3,32.2
veh_001,28.6344039,77.2171131,2024-01-01 09:00:58,32.3,45.8
veh_001,28.6344291,77.2171312,2024-01-01 09:01:00,42.8,35.4
veh_001,28.6345947,77.2173061,2024-01-01 09:01:02,42.8,48.1
veh_001,28.6347603,77.2174809,2024-01-01 09:01:04,42.8,45.1
veh_001,28.6349259,77.2176558,2024-01-01 09:01:06,42.8,43.5
veh_001,28.6350915,77.2178306,2024-01-01 09:01:08,42.8,38.2
veh_001,28.6352571,77.2180055,2024-01-01 09:01:10,66.5,35.1
veh_001,28.6353229,77.2181777,2024-01-01 09:01:12,66.5,34.3
veh_001,28.6353887,77.2183498,2024-01-01 09:01:14,66.5,33.4
veh_001,28.6354545,77.218522,2024-01-01 09:01:16,66.5,36.1
veh_001,28.6355203,77.2186941,2024-01-01 09:01:18,66.5,37.3
veh_001,28.6355861,77.2188663,2024-01-01 09:01:20,81.5,42.7
veh_001,28.6356127,77.2190697,2024-01-01 09:01:22,81.5,49.2
veh_001,28.6356393,77.2192731,2024-01-01 09:01:24,81.5,30.6
veh_001,28.6356659,77.2194765,2024-01-01 09:01:26,81.5,31.9
veh_001,28.6356925,77.2196799,2024-01-01 09:01:28,81.5,43.7
veh_001,28.6357191,77.2198833,2024-01-01 09:01:30,81.5,38.8
veh_wrongway,28.6357191,77.2198833,2024-01-01 09:00:00,261.5,26.1
veh_wrongway,28.6356925,77.2196799,2024-01-01 09:00:02,261.5,33.2
veh_wrongway,28.6356659,77.2194765,2024-01-01 09:00:04,261.5,25.4
veh_wrongway,28.6356393,77.2192731,2024-01-01 09:00:06,261.5,28.8
veh_wrongway,28.6356127,77.2190697,2024-01-01 09:00:08,261.5,34.9
veh_wrongway,28.6355861,77.2188663,2024-01-01 09:00:10,246.5,26.4
veh_wrongway,28.6355203,77.2186941,2024-01-01 09:00:12,246.5,36.2
veh_wrongway,28.6354545,77.218522,2024-01-01 09:00:14,246.5,25.8
